--- <out-dir-11>/server_P11a10_1.log
(APIServer pid=321857) INFO 09-12 08:34:48 [loggers.py:310] Engine 000: Avg prompt throughput: 2690.8 tokens/s, Avg generation throughput: 45.1 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 97.8%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:34:58 [loggers.py:310] Engine 000: Avg prompt throughput: 107.7 tokens/s, Avg generation throughput: 557.5 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 89.9%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:35:08 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.2 tokens/s, Avg generation throughput: 159.4 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 97.8%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:35:18 [loggers.py:310] Engine 000: Avg prompt throughput: 645.7 tokens/s, Avg generation throughput: 493.5 tokens/s, Running: 24 reqs, Waiting: 34 reqs, GPU KV cache usage: 93.9%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:35:28 [loggers.py:310] Engine 000: Avg prompt throughput: 2044.6 tokens/s, Avg generation throughput: 242.5 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 97.8%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:35:38 [loggers.py:310] Engine 000: Avg prompt throughput: 968.7 tokens/s, Avg generation throughput: 400.7 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 89.9%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:35:48 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 325.2 tokens/s, Running: 25 reqs, Waiting: 20 reqs, GPU KV cache usage: 97.8%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:35:58 [loggers.py:310] Engine 000: Avg prompt throughput: 1507.0 tokens/s, Avg generation throughput: 339.0 tokens/s, Running: 22 reqs, Waiting: 6 reqs, GPU KV cache usage: 86.0%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:36:08 [loggers.py:310] Engine 000: Avg prompt throughput: 645.9 tokens/s, Avg generation throughput: 427.0 tokens/s, Running: 20 reqs, Waiting: 0 reqs, GPU KV cache usage: 78.2%, Prefix cache hit rate: 0.0%
(APIServer pid=321857) INFO 09-12 08:36:18 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 81.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
--- <out-dir-11>/server_P11a10_2.log
